Punggol,353.6,379.4,412.1,419.9,381.9,387.2,396.5,383.2,355.8,346.9,379.4,343.8,297.6,337.8,388.7,435.7,435.4,402.4,388,411.8,411.8,400.8,448.4,393.7
Seletar,665.2,815.3,712.1,956.3,794.7,834.9,809.4,788,799,751.8,805.1,763.5,694.6,720.8,835.1,794.5,890.7,892.4,858.2,808.3,954.2,884.4,411.8,400.8
Sengkang,360.2,386.3,406.1,420.5,404.8,413.6,401.5,388.8,356,358.6,390,344.3,325.1,351.1,402.2,422.1,439.8,416.3,393.1,401.7,414,401.2,954.2,884.4
Serangoon,530.3,547.5,611.2,605.3,562.5,583.5,551.6,521.2,524.5,506.8,553.7,496.8,464.5,522.9,605.4,620.2,573.2,587.7,555.2,583,586.9,499.5,414,401.2
Mandai,662,616.7,654.4,678,678.5,702.3,666.6,625.5,703.5,569.6,657.2,574,614.6,544.7,609.3,591.5,694.6,807.1,662.3,718.5,669.7,703.3,586.9,499.5
Sembawang,418.4,400.5,381.7,411.1,422,446.4,417.2,423.3,413.4,382.7,408.9,366.8,382.9,347.1,349.7,374.7,421.4,473.9,432.5,427.1,447.4,435.2,439.4,396.1
Sungei Kadut,1109.1,956.8,1047.1,1069,1038.3,1109.7,990,971.4,1061.4,942.1,1038.6,938,930.6,876.8,920,1026.3,988.1,1134.4,1008.5,1048.8,1147.1,1091.2,1060.1,913.1
Woodlands,404.8,399.3,394.1,424.5,434.2,437.3,408.2,417.3,419.9,367.9,396.1,368.2,369.1,356.9,334.8,374.5,421.8,462.5,421.5,423.6,429,434.1,429.3,379.6
Yishun,368.7,388.2,369.5,393.9,417.1,404.3,386.3,392.3,366.8,356.7,361.1,348,337.3,328,317.5,340.2,433.8,408.3,390.4,402.9,404.3,402.7,390.1,370.6
Bukit Batok,383.6,374.7,367.9,383.2,398,409.9,385.9,389.7,374.5,351.4,354.4,326,333.8,334.2,317.6,364.3,389.5,428.6,379.7,391,395.6,408.6,382.5,336.2
Bukit Panjang,389.6,418.2,376.8,411,425.1,421.3,394.2,414.9,385,393.5,364.8,372.6,352.2,364.8,323.9,368.2,427.2,436.6,418.1,433.5,399,436.6,406.8,406.7
Choa Chu Kang,423.2,414.1,386.2,408,437.1,462.9,415.8,419,417.6,373.4,405.9,372.1,380.5,358.4,337.2,384.7,404.3,460.6,439.9,419.3,436.9,439.9,429.3,379.6
Clementi,373.2,409.3,370,392.6,412.6,427.9,388.9,413.4,394.3,388.3,358.8,370.7,330.4,349.2,314.5,335.9,394.3,419.3,398.3,412.6,405.7,405.9,403.5,386.7
Jurong East,376.8,367.8,344.8,378.5,393.9,406.3,385.3,374.2,370.4,343.8,355.4,330.7,346,315.1,310.4,358.4,382.3,420.5,377.8,383.9,383.5,402.4,376.2,325.1
Jurong West,382.5,424.5,378.4,416.4,428.3,443.5,407.3,420.4,396.5,396.9,376.1,372.9,344.4,371.6,331.3,376.2,436.5,433.3,418.7,441.5,413.3,435.5,414.7,396.3
Pioneer,18.5,37.4,-,7.3,-,5.2,-,3.7,3.7,3.4,3.4,3.9,3.6,3.9,3.8,3.4,-,-,-,2.6,-,-,-,-
Tengah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.1,14.4,21.4,28
